`` The phony war has finished and the real referendum campaign has clearly begun , '' Australians for a Constitutional Monarchy executive director Kerry Jones said. `` Well may we say ` God save the Queen , ' for nothing will save the republic , '' outraged monarchist delegate David Mitchell said.	What happened before The phony war has finished and the real referendum campaign has clearly begun Australians for a Constitutional Monarchy executive director Kerry Jones said?	The phony war has finished and the real referendum campaign has clearly begun outraged monarchist delegate David Mitchell said	no	Event Ordering
`` The phony war has finished and the real referendum campaign has clearly begun , '' Australians for a Constitutional Monarchy executive director Kerry Jones said. `` Well may we say ` God save the Queen , ' for nothing will save the republic , '' outraged monarchist delegate David Mitchell said.	What happened before The phony war has finished and the real referendum campaign has clearly begun Australians for a Constitutional Monarchy executive director Kerry Jones said?	The phony war finished	yes	Event Ordering
`` The phony war has finished and the real referendum campaign has clearly begun , '' Australians for a Constitutional Monarchy executive director Kerry Jones said. `` Well may we say ` God save the Queen , ' for nothing will save the republic , '' outraged monarchist delegate David Mitchell said.	What happened before The phony war has finished and the real referendum campaign has clearly begun Australians for a Constitutional Monarchy executive director Kerry Jones said?	the real referendum campaign clearly begun	yes	Event Ordering
DIG is the vehicle being used to pursue to acquisition. Robert Mellor , Di Giorgio 's executive vice president , said the company stands to reap more money through the sale of individual units to others than by accepting DIG 's offer.	What happened after the company stands?	used to pursue to acquisition	no	Event Ordering
Kopp 's whereabouts remain unknown. He was last seen Nov. 3 , the day before authorities issued a material witness warrant in the Slepian shooting in the hope of questioning him.	What happened before authorities issued?	Kopp 's whereabouts remain unknown	no	Event Ordering
The bugs will cause problems in " specific and rare circumstances that will not occur in typical applications " such as word-processing and spreadsheets , said Michael Slater , editor of the Microprocessor Report , an industry newsletter. Sun , Hewlett-Packard and others say Intel is n't wholly to blame for the snafu.	What happened after Sun , Hewlett - Packard and others say?	The bugs will cause problems in " specific and rare circumstances that will not occur in typical applications " such as word - processing and spreadsheets	no	Event Ordering
The bugs will cause problems in " specific and rare circumstances that will not occur in typical applications " such as word-processing and spreadsheets , said Michael Slater , editor of the Microprocessor Report , an industry newsletter. Sun , Hewlett-Packard and others say Intel is n't wholly to blame for the snafu.	What happened after Sun , Hewlett - Packard and others say?	The bugs will cause problems in " specific and rare circumstances that will not occur in typical applications " such as word - processing and spreadsheets said Michael Slater , editor of the Microprocessor Report , an industry newsletter . Sun , Hewlett - Packard and others	no	Event Ordering
`` This gives him the protection that he will not be repatriated to Cuba between now and Feb. 10. '' Earlier Friday , lawyers filed a petition on behalf of Elian 's great-uncle , Lazaro Gonzalez.	What happened before Earlier Friday lawyers filed?	This gives him the protection that he will not be repatriated to Cuba between now and Feb. 10	no	Event Ordering
First of America said some of the managers will take other jobs with First of America. But it said that severance payments to those executives not staying with the company will reduce First of America 's operating results for 1989 by $3 million to $4 million , or 15 cents to 20 cents a share.	What happened after First of America said?	some of the managers will take other jobs with First of America	yes	Event Ordering
First of America said some of the managers will take other jobs with First of America. But it said that severance payments to those executives not staying with the company will reduce First of America 's operating results for 1989 by $3 million to $4 million , or 15 cents to 20 cents a share.	What happened after First of America said?	it said that severance payments to those executives not staying with the company will reduce First of America 's operating results for 1989 by $ 3 million to $ 4 million , or 15 cents to 20 cents a share	yes	Event Ordering
